name,male_percent
penbe,0
bektas,100
ruhi,100
tugrul,100
ceyda,0
beyaz,1
satiye,0
ebubekir,100
hakime,0
gokmen,97
hale,0
abdulvahap,100
alim,98
gulderen,0
saide,0
fadile,0
unzule,0
esmer,1
altan,97
sumeyye,0
etem,100
zinnet,0
irem,2
sezen,4
rahim,96
ceyhan,54
ayca,0
fatos,0
erman,99
memis,100
neset,100
sebile,0
ganime,0
rustu,100
vural,100
bilgin,64
burhanettin,100
seniha,0
nazile,0
nevim,0
cebrail,100
tanju,96
enis,99
furkan,98
bediha,0
sonay,7
nihan,1
sabit,100
gurbuz,96
safinaz,0
gulfer,0
muruvet,0
aysenur,0
muhlis,100
refiye,0
fadimana,0
ikram,59
ulas,99
muhsine,0
muberra,0
aydan,4
sevdiye,0
battal,100
serhan,93
ismihan,1
feyza,0
hacire,0
suayip,100
islam,100
yigit,100
imam,100
belma,0
kubilay,100
zennure,0
mecbure,0
sara,0
guli,6
asya,0
atakan,100
sahide,0
humeyra,0
memduh,100
munise,0
suphi,100
pembe,0
habib,100
fesih,100
tuna,70
ozay,76
fazil,100
guzide,0
oner,100
devrim,64
hadiye,0
vahap,100
semahat,0
zekai,100
dilaver,95
munir,100
raife,0
azmi,100
evrim,17
belkis,0
emis,0
seyfullah,100
zulfu,68
hayat,4
sehriye,0
besra,0
gulcihan,0
dincer,100
bedrettin,100
nafiz,100
salahattin,100
kadin,0
akile,0
ismahan,0
alaaddin,100
zulkuf,100
abdulhamit,100
alican,100
yurdanur,2
penpe,0
cagdas,97
telli,2
selvinaz,0
yunis,100
abdi,100
feray,2
murside,0
nurdane,0
unsal,94
sohret,1
berat,78
kemalettin,100
zinet,0
dilara,0
emsal,9
alp,100
nejat,100
gurcu,0
gulen,0
medeni,100
hamdullah,100
sevtap,0
saduman,2
guzin,0
menevse,0
cihangir,100
nesime,0
erdi,100
sunduz,0
timur,100
afife,0
alparslan,100
sehnaz,0
ersoy,100
hadi,100
israfil,100
cagla,1
mujdat,100
vahdettin,100
binali,98
bakiye,0
seyithan,100
hilmiye,0
cagatay,100
zulbiye,0
gorkem,75
taylan,98
sertac,96
besime,0
bilgi,11
sayime,0
guller,0
garip,79
guray,93
armagan,55
fadik,0
sakire,0
ferudun,100
satu,0
zeycan,0
gulgun,0
fadil,98
begum,0
murtaza,100
akgul,3
zumrut,3
hasine,0
ercument,100
gokcen,16
semse,0
havana,0
ummuhani,0
fetiye,0
faysal,100
sevkiye,0
arda,95
gulusan,0
pamuk,0
rusen,57
salime,0
turker,99
nedret,22
binnur,0
keriman,0
ata,100
gurhan,96
melihat,0
elcin,5
bedir,96
aliriza,100
tayyar,100
mujde,0
suphiye,0
kurtulus,94
ummugul,0
hesna,0
candan,16
pasa,96
isik,28
nazike,0
ulfet,19
yelda,0
hizir,100
utku,96
zubeyir,100
guley,0
nesim,100
sah,96
ramadan,100
rasime,0
tarkan,100
hurriyet,13
kayhan,100
macide,0
ferat,100
tunay,68
fadima,0
zeynal,100
cilem,0
donus,0
aygun,28
ifakat,0
tezcan,61
abide,0
perisan,0
nurcihan,0
munure,0
hursit,99
zihni,100
suriye,0
seviye,0
durali,100
mucella,0
ragip,100
dilsah,0
enise,0
meyrem,0
saadettin,100
olgun,100
vakkas,100
sirri,100
mubeccel,0
salman,100
alpay,100
ferah,8
netice,0
mahmure,0
dursune,0
kadiriye,0
imren,4
tayfur,100
emire,0
selen,0
belguzar,4
mahide,0
kafiye,0
inan,97
sena,21
nezire,0
iclal,0
beyza,0
fazile,0
katibe,0
abdulhakim,100
dede,100
muhammer,98
zekeriye,100
gulzade,0
semiye,0
ozdemir,100
adle,0
orcun,100
ekber,100
herdem,0
baran,78
selahaddin,100
abdulhalim,100
yazgul,0
demir,100
kismet,10
fehim,100
melis,0
bugra,97
arzi,0
nafia,0
aytul,0
ferihan,0
abdil,100
maksut,100
ersen,95
ismigul,0
adeviye,0
amine,0
rahmiye,0
gokay,98
fettah,100
sirma,0
tevhide,0
inayet,18
semire,0
feyyaz,100
neval,0
muteber,0
atalay,100
taskin,100
yonca,0
zulfikar,93
sahabettin,100
abubekir,100
ozen,28
zeytun,0
naif,100
mufide,0
bilgen,3
yosma,0
mumtaz,100
seker,10
gulsevim,0
orkun,100
abdul,100
nefize,0
ecevit,100
gurol,100
sahinde,0
kutbettin,100
kaniye,0
muhteber,0
gulendam,0
gunnur,0
arap,88
nasibe,0
aydogan,97
rahsan,0
sezayi,100
taha,100
cezmi,100
belkiz,0
selcan,3
iraz,0
sultani,0
abdulmecit,100
seniye,0
ejder,100
gulsan,0
yadikar,7
berivan,0
ramis,100
asir,100
reside,0
mahsum,100
berk,100
abdulselam,100
celile,0
polat,100
sulbiye,0
tevrat,27
nureddin,100
barbaros,100
fatmagul,0
melda,0
ahu,0
gunduz,81
ozgun,66
ozhan,98
aysan,3
hanefi,100
nagehan,0
cesim,100
sayim,100
elveda,0
mehriban,0
abdurahman,100
besim,100
aise,0
horu,0
tulun,0
selvet,29
nahit,100
zaide,0
menice,0
besna,0
mumune,0
kani,100
mikdat,100
mazlum,96
asiya,0
selahittin,100
ferruh,95
felek,2
selamet,31
mukremin,100
zulfi,53
ramiz,100
sadan,45
muttalip,100
zulal,8
naziye,0
ummehan,0
zemzem,0
cimen,0
afet,3
cesur,100
aysin,0
nural,24
zozan,0
cavide,0
mehmetali,100
fadim,0
behzat,100
samil,100
hakim,100
ulvi,100
mahinur,0
teoman,100
hatem,30
erkut,100
hasip,100
menduh,100
nebile,0
nida,11
han,90
zahir,92
atif,100
ummet,100
mitat,100
ruveyde,0
malik,100
fatim,0
rafiye,0
nergis,0
giyasettin,100
tugay,100
nusrettin,100
iffet,0
miray,2
veyis,100
kivanc,94
gani,100
abdullatif,100
melehat,0
ensar,100
zuhra,0
server,30
akkiz,0
saliye,0
nil,0
hami,89
ummiye,0
nihayet,3
zuhtu,100
sazimet,0
muslume,0
zerife,0
findik,0
sirac,100
berkan,100
fedai,100
kadife,0
zakir,100
birkan,92
nasuh,100
nigmet,2
mihrican,0
safa,90
yasariye,0
ziynet,0
gulkiz,0
melik,96
meric,64
turkay,73
umus,0
sadrettin,100
oruc,67
kumru,0
mekiye,0
mazhar,100
delal,4
rana,0
egemen,96
guney,74
gaye,0
medet,97
muhyettin,100
ruhiye,0
faize,0
muhbet,0
nulufer,0
feti,96
efe,100
abit,100
fati,2
munur,100
hacere,0
haldun,100
celebi,100
kursad,100
batuhan,100
sekine,0
muhlise,0
hazim,100
omriye,0
besey,0
ozgen,46
faika,0
sona,0
nuket,0
anakiz,0
ela,0
nasir,100
abdulgani,100
dilan,0
safure,0
bilgehan,58
hazel,0
vicdan,2
tunc,100
habil,100
alattin,100
gulfiye,0
ruveyda,0
telat,100
pempe,0
nesat,100
kagan,100
zahra,0
memduha,0
gullizar,0
evin,0
talha,100
cinar,46
semanur,0
alisan,100
ozturk,100
mahi,0
besire,0
muslim,100
nurittin,100
kebire,0
vasfi,100
fehmiye,0
mahire,0
hafiza,0
zekine,0
husnuye,0
sertan,100
seyide,0
dundar,100
ferman,92
rauf,100
zubeyda,0
mahiye,0
tansel,77
kiyasettin,100
bestami,100
mehri,0
mansur,100
mehdi,100
lamia,0
merih,39
navruz,8
nizam,100
okay,100
tayyibe,0
mirac,75
